Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
AB,Abruzzo,Fucino,Fucino,ITA_AB_Fucino.Abruzzo,ITA_AB_Fucino.162270_TMYx.2011-2025.epw,41.9783,13.6053,651.0,3616.6083333333336,29.854166666666668,86798.6,716.5
AB,Abruzzo,Pescara,Pescara.Abruzzo.AP,ITA_AB_Pescara.Abruzzo,ITA_AB_Pescara.Abruzzo.AP.162300_TMYx.2011-2025.epw,42.4372,14.1872,11.0,2014.6916666666666,123.75833333333333,48352.6,2970.2
BC,Basilicata,Latronico,Latronico,ITA_BC_Latronico.Basilicata,ITA_BC_Latronico.163160_TMYx.2011-2025.epw,40.0875,16.0136,896.0,2781.5499999999997,31.037499999999998,66757.2,744.9
CM,Campania,Cape,Cape.Palinuro,ITA_CM_Cape.Campania,ITA_CM_Cape.Palinuro.163100_TMYx.2011-2025.epw,40.025,15.2803,185.0,1419.1000000000001,93.39999999999999,34058.4,2241.6
CM,Campania,Capri,Capri.Island,ITA_CM_Capri.Campania,ITA_CM_Capri.Island.162940_TMYx.2011-2025.epw,40.5578,14.2019,161.0,1335.9208333333333,78.42083333333333,32062.1,1882.1
CM,Campania,Caserta,Caserta,ITA_CM_Caserta.Campania,ITA_CM_Caserta.162880_TMYx.2011-2025.epw,41.0708,14.3236,63.0,1847.9000000000003,107.44166666666666,44349.600000000006,2578.6
CM,Campania,Grazzanise,Grazzanise.AB,ITA_CM_Grazzanise.Campania,ITA_CM_Grazzanise.AB.162530_TMYx.2011-2025.epw,41.0606,14.0789,10.0,1743.5458333333333,158.26250000000002,41845.1,3798.3
CM,Campania,Napoli-Capodichino,Napoli-Capodichino.AP,ITA_CM_Napoli-Capodichino.Campania,ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2011-2025.epw,40.884,14.291,72.0,1520.9375,159.31666666666663,36502.5,3823.5999999999995
CM,Campania,Salerno-Pontecagnano,Salerno-Pontecagnano.AP,ITA_CM_Salerno-Pontecagnano.Campania,ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.2011-2025.epw,40.617,14.917,39.0,1746.2208333333335,118.72083333333332,41909.3,2849.2999999999997
CM,Campania,Trevico,Trevico,ITA_CM_Trevico.Campania,ITA_CM_Trevico.162630_TMYx.2011-2025.epw,41.0467,15.2328,1093.0,2742.7749999999996,8.241666666666667,65826.59999999999,197.8
ER,Emilia-Romagna,Bologna-Marconi,Bologna-Marconi.AP,ITA_ER_Bologna-Marconi.Emilia-Romagna,ITA_ER_Bologna-Marconi.AP.161400_TMYx.2011-2025.epw,44.5308,11.2969,37.0,2369.7291666666665,148.41666666666666,56873.5,3562.0
ER,Emilia-Romagna,Cervia,Cervia.AB,ITA_ER_Cervia.Emilia-Romagna,ITA_ER_Cervia.AB.161480_TMYx.2011-2025.epw,44.224,12.307,10.0,2273.3875,89.83749999999999,54561.299999999996,2156.1
ER,Emilia-Romagna,Cimone,Cimone.Mtn,ITA_ER_Cimone.Emilia-Romagna,ITA_ER_Cimone.Mtn.161340_TMYx.2011-2025.epw,44.1936,10.7,2173.0,3362.3250000000003,5.983333333333333,80695.8,143.6
ER,Emilia-Romagna,Cisa,Cisa.Pass,ITA_ER_Cisa.Emilia-Romagna,ITA_ER_Cisa.Pass.161240_TMYx.2011-2025.epw,44.472,9.9286,1040.0,3311.9791666666665,6.708333333333333,79487.5,161.0
ER,Emilia-Romagna,Forli,Forli.AP,ITA_ER_Forli.Emilia-Romagna,ITA_ER_Forli.AP.161470_TMYx.2011-2025.epw,44.1956,12.0697,32.0,2353.3458333333333,141.17916666666665,56480.299999999996,3388.2999999999993
ER,Emilia-Romagna,Parma-Verdi,Parma-Verdi.AP,ITA_ER_Parma-Verdi.Emilia-Romagna,ITA_ER_Parma-Verdi.AP.161300_TMYx.2011-2025.epw,44.8172,10.2969,52.0,2521.9249999999997,131.36666666666667,60526.2,3152.8
ER,Emilia-Romagna,Piacenza-San,Piacenza-San.Damiano.AB,ITA_ER_Piacenza-San.Emilia-Romagna,ITA_ER_Piacenza-San.Damiano.AB.160840_TMYx.2011-2025.epw,44.9092,9.7278,138.0,2711.2458333333334,115.90416666666668,65069.9,2781.7000000000003
ER,Emilia-Romagna,Punta,Punta.Marina,ITA_ER_Punta.Emilia-Romagna,ITA_ER_Punta.Marina.161460_TMYx.2011-2025.epw,44.4414,12.2961,6.0,2026.125,120.58333333333333,48627.0,2894.0
