h,Sch,Sch,Sch,Sch,Sch,Sch,KinderG,KinderG,KinderG,KinderG,KinderG,KinderG,DepStore,DepStore,DepStore,DepStore,DepStore,DepStore,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApart,ReApart,ReApart,ReApart,ReApart,ReApart,ReDetached,ReDetached,ReDetached,ReDetached,ReDetached,ReDetached
,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends
,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0.3,0.1,0.13,0.3,1,0.5,0.15,1,0.5,0.15,0.5,0.5,0.15,0.8,0.5,0.15,0.5,0.5,0.15,0.8,0.5,0.15
8,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.4,0.15,0.3,0.4,0.15,0.3,1,0.7,0.15,1,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15
